time,resultDescription
2025-06-03T07:39:39.7992486Z,"2025-06-03 07:39:39,798 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-03T07:41:01.3972915Z,"2025-06-03 07:41:01,397 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T07:41:28.3624319Z,"2025-06-03 07:41:28,362 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T08:19:49.3839639Z,"2025-06-03 08:19:49,330 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-03T08:22:44.9704476Z,"2025-06-03 08:22:44,961 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T08:22:53.4919593Z,"2025-06-03 08:22:53,490 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T08:32:25.2929598Z,"2025-06-03 08:32:25,229 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T08:45:02.0613437Z,"2025-06-03 08:45:02,054 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-03T08:50:03.9883999Z,"2025-06-03 08:50:03,988 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-03T09:03:21.792857Z,"2025-06-03 09:03:21,733 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-03T09:08:07.1362938Z,"2025-06-03 09:08:07,136 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T09:08:35.9193347Z,"2025-06-03 09:08:35,919 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T09:22:45.6691074Z,"2025-06-03 09:22:45,649 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-03T09:24:00.0459365Z,"2025-06-03 09:24:00,045 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-03T09:32:14.9438837Z,"2025-06-03 09:32:14,943 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T09:55:10.7704452Z,"2025-06-03 09:55:10,753 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T10:06:11.0150342Z,"2025-06-03 10:06:10,999 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T10:37:10.093641Z,"2025-06-03 10:37:10,023 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-03T10:40:28.4256329Z,"2025-06-03 10:40:28,425 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-03T10:41:24.0061435Z,"2025-06-03 10:41:24,005 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-03T10:48:34.2282074Z,"2025-06-03 10:48:34,216 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-03T10:53:19.445129Z,"2025-06-03 10:53:19,444 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-03T11:23:52.0786067Z,"2025-06-03 11:23:51,272 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-03T11:24:39.993413Z,"2025-06-03 11:24:39,992 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T11:42:05.4252772Z,"2025-06-03 11:42:05,370 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T11:47:24.1685318Z,"2025-06-03 11:47:24,140 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T11:47:56.910549Z,"2025-06-03 11:47:56,910 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T11:56:20.2888426Z,"2025-06-03 11:56:20,283 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T11:58:07.0944621Z,"2025-06-03 11:58:07,091 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-03T12:19:12.429716Z,"2025-06-03 12:19:12,387 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-03T12:19:32.6741326Z,"2025-06-03 12:19:32,674 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
