"TimeGenerated [UTC]",ResultDescription
"11/17/2025, 10:52:05.782 AM","2025-11-17 10:52:05,782 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 10:55:02.552 AM","2025-11-17 10:55:02,552 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
"11/17/2025, 10:56:38.561 AM","2025-11-17 10:56:38,561 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 11:06:23.974 AM","2025-11-17 11:06:23,972 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 11:41:43.616 AM","2025-11-17 11:41:43,616 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 11:45:31.301 AM","2025-11-17 11:45:31,301 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 11:46:38.084 AM","2025-11-17 11:46:38,084 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 3:19:10.145 PM","2025-11-17 15:19:10,145 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 4:34:03.247 PM","2025-11-17 16:34:03,247 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 4:40:38.577 PM","2025-11-17 16:40:38,576 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 5:24:59.274 PM","2025-11-17 17:24:59,268 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 5:53:00.287 PM","2025-11-17 17:53:00,287 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 5:54:18.643 PM","2025-11-17 17:54:18,634 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 1:36:27.193 PM","2025-11-17 13:36:27,192 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 1:48:26.225 PM","2025-11-17 13:48:26,225 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 1:52:53.334 PM","2025-11-17 13:52:53,334 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 1:54:00.198 PM","2025-11-17 13:54:00,197 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 1:56:02.746 PM","2025-11-17 13:56:02,746 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
"11/17/2025, 2:32:56.888 PM","2025-11-17 14:32:56,888 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 3:04:57.873 PM","2025-11-17 15:04:57,873 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 3:08:05.910 PM","2025-11-17 15:08:05,910 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 3:10:35.745 PM","2025-11-17 15:10:35,744 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 12:26:25.524 PM","2025-11-17 12:26:25,522 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 12:51:59.513 PM","2025-11-17 12:51:59,512 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
"11/17/2025, 1:15:06.807 PM","2025-11-17 13:15:06,806 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
"11/17/2025, 1:17:20.357 PM","2025-11-17 13:17:20,357 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 1:17:49.323 PM","2025-11-17 13:17:49,322 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
