"TimeGenerated [UTC]",ResultDescription
"12/10/2025, 10:40:59.414 AM","2025-12-10 10:40:59,414 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 10:56:24.312 AM","2025-12-10 10:56:24,312 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 12:03:34.954 PM","2025-12-10 12:03:34,954 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 12:06:59.868 PM","2025-12-10 12:06:59,868 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 12:28:57.490 PM","2025-12-10 12:28:57,490 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 12:36:39.515 PM","2025-12-10 12:36:39,514 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 1:01:16.097 PM","2025-12-10 13:01:16,097 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/10/2025, 1:43:00.424 PM","2025-12-10 13:43:00,424 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 7:59:57.598 AM","2025-12-10 07:59:57,597 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 8:01:32.173 AM","2025-12-10 08:01:32,172 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
"12/10/2025, 8:28:39.011 AM","2025-12-10 08:28:39,003 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/10/2025, 8:32:46.988 AM","2025-12-10 08:32:46,987 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 8:36:57.136 AM","2025-12-10 08:36:57,136 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 9:53:49.469 AM","2025-12-10 09:53:49,469 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/10/2025, 7:08:20.836 AM","2025-12-10 07:08:20,829 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 11:01:50.887 AM","2025-12-10 11:01:50,887 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 8:11:27.053 AM","2025-12-10 08:11:27,053 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/10/2025, 11:05:36.627 AM","2025-12-10 11:05:36,626 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 8:52:01.750 AM","2025-12-10 08:52:01,750 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 12:20:23.915 PM","2025-12-10 12:20:23,914 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 9:44:49.780 AM","2025-12-10 09:44:49,779 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/10/2025, 12:42:50.820 PM","2025-12-10 12:42:50,820 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 10:05:37.305 AM","2025-12-10 10:05:37,305 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 12:51:14.114 PM","2025-12-10 12:51:14,114 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 10:10:55.928 AM","2025-12-10 10:10:55,927 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 10:09:55.928 AM","2025-12-10 10:09:55,927 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/10/2025, 10:13:17.051 AM","2025-12-10 10:13:17,051 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 10:18:50.659 AM","2025-12-10 10:18:50,657 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/10/2025, 12:46:54.726 PM","2025-12-10 12:46:54,724 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 1:09:24.678 PM","2025-12-10 13:09:24,671 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 1:44:14.689 PM","2025-12-10 13:44:14,689 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 4:40:44.275 PM","2025-12-10 16:40:44,271 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 8:12:49.155 PM","2025-12-10 20:12:49,154 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/10/2025, 1:07:05.417 PM","2025-12-10 13:07:05,417 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 8:09:57.304 AM","2025-12-10 08:09:57,304 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/10/2025, 10:03:55.862 AM","2025-12-10 10:03:55,862 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 12:39:45.203 PM","2025-12-10 12:39:45,203 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 12:45:00.923 PM","2025-12-10 12:45:00,923 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/10/2025, 1:18:39.801 PM","2025-12-10 13:18:39,801 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/10/2025, 1:30:57.716 PM","2025-12-10 13:30:57,715 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 2:37:48.234 PM","2025-12-10 14:37:48,234 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 3:21:30.681 PM","2025-12-10 15:21:30,680 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 4:31:55.242 PM","2025-12-10 16:31:55,241 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 4:39:20.927 PM","2025-12-10 16:39:20,927 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/11/2025, 5:27:10.320 AM","2025-12-11 05:27:10,320 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
"12/10/2025, 2:00:52.752 PM","2025-12-10 14:00:52,751 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/10/2025, 2:30:42.105 PM","2025-12-10 14:30:42,105 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/10/2025, 3:26:04.446 PM","2025-12-10 15:26:04,446 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
