time,resultDescription
2025-07-02T05:33:03.396708Z,"2025-07-02 05:33:03,396 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T05:36:31.4379405Z,"2025-07-02 05:36:31,431 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T05:38:15.0327054Z,"2025-07-02 05:38:15,031 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T05:40:14.1881907Z,"2025-07-02 05:40:14,187 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-02T05:49:48.0751348Z,"2025-07-02 05:49:48,068 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T05:51:49.9682889Z,"2025-07-02 05:51:48,752 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T05:52:26.9749522Z,"2025-07-02 05:52:26,974 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T05:55:20.4098272Z,"2025-07-02 05:55:20,407 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T06:08:12.9663432Z,"2025-07-02 06:08:12,930 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T06:08:35.9628564Z,"2025-07-02 06:08:35,961 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T06:12:25.610684Z,"2025-07-02 06:12:25,610 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-02T06:12:34.8467205Z,"2025-07-02 06:12:34,844 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-02T06:42:13.3522876Z,"2025-07-02 06:42:13,302 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T06:43:34.3930241Z,"2025-07-02 06:43:34,392 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T07:05:51.0721391Z,"2025-07-02 07:05:51,024 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T08:01:44.6579776Z,"2025-07-02 08:01:44,626 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-02T08:01:56.3819411Z,"2025-07-02 08:01:56,372 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-02T08:02:19.4434738Z,"2025-07-02 08:02:19,443 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-02T08:29:04.2224291Z,"2025-07-02 08:29:04,183 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T08:30:55.3154916Z,"2025-07-02 08:30:55,314 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T08:56:28.4744677Z,"2025-07-02 08:56:28,458 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-02T09:42:57.5632557Z,"2025-07-02 09:42:57,526 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T09:48:58.9182696Z,"2025-07-02 09:48:58,911 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-02T09:49:31.6200348Z,"2025-07-02 09:49:31,619 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T09:57:01.0541189Z,"2025-07-02 09:57:01,050 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T10:01:08.4253432Z,"2025-07-02 10:01:08,417 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T10:18:51.6885829Z,"2025-07-02 10:18:51,660 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T10:33:10.441512Z,"2025-07-02 10:33:10,434 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T10:44:21.3448971Z,"2025-07-02 10:44:21,340 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T10:44:56.5409901Z,"2025-07-02 10:44:56,531 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T11:27:28.6761848Z,"2025-07-02 11:27:28,645 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-02T11:28:54.5831089Z,"2025-07-02 11:28:54,582 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
